Year,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2018,Richmond,7,12,9,3,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,
2018,West Coast,14,8,5,2,2,2,2,2,1,1,1,1,2,3,3,3,2,2,2,2,2,2,2,
2018,Collingwood,16,16,14,10,5,10,9,11,10,8,7,6,6,4,2,2,3,3,3,6,5,3,3,
2018,Hawthorn,3,4,8,4,7,4,4,5,9,10,10,11,9,9,10,8,10,8,7,5,4,4,4,
2018,Melbourne,10,6,4,12,14,12,10,6,3,3,3,5,4,6,7,6,6,7,6,4,7,7,5,
2018,Sydney,5,9,7,6,10,7,8,7,5,4,4,3,3,2,4,5,4,4,9,8,6,5,6,
2018,GWS Giants,1,1,2,1,3,3,5,9,11,11,11,9,10,10,6,10,7,6,5,3,3,6,7,
2018,Geelong,9,10,12,8,6,9,6,3,8,6,5,4,5,7,8,7,8,9,8,9,9,8,8,
2018,North Melbourne,15,5,11,7,4,8,7,10,7,5,6,7,8,8,9,9,9,10,10,10,10,10,9,
2018,Port Adelaide,2,2,1,5,9,6,11,8,6,9,8,8,7,5,5,4,5,5,4,7,8,9,10,
2018,Essendon,8,11,13,11,13,14,15,15,14,12,12,12,13,12,12,12,12,11,11,11,11,11,11,
2018,Adelaide,11,7,3,9,8,5,3,4,4,7,9,10,11,11,11,11,11,12,12,12,12,12,12,
2018,Western Bulldogs,18,18,16,15,16,15,14,13,13,14,14,14,14,14,14,14,14,14,14,14,14,13,13,
2018,Fremantle,17,14,10,13,11,11,12,12,12,13,13,13,12,13,13,13,13,13,13,13,13,14,14,
2018,Brisbane,13,15,17,17,17,17,17,18,17,17,17,17,17,17,17,16,16,16,16,16,16,15,15,
2018,St Kilda,6,13,15,16,15,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,16,16,
2018,Gold Coast,4,3,6,14,12,13,13,14,15,15,15,15,15,15,16,17,17,17,17,17,17,17,17,
2018,Carlton,12,17,18,18,18,18,18,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,
2017,Adelaide,1,2,1,2,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,
2017,Geelong,2,7,3,1,2,3,3,5,3,3,3,3,3,3,3,3,2,2,2,4,3,3,2,
2017,Richmond,3,3,2,3,3,4,6,7,7,5,4,4,6,6,4,6,5,4,4,3,4,4,3,
2017,GWS Giants,18,9,5,4,4,2,2,2,2,2,1,2,2,1,1,2,3,3,3,2,2,2,4,
